	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	fdr	Mean_Gene_Len	Stdv_Gene_Len
0	GO:0055085	1.21672e-16	1.00000e+00	77	257	transmembrane transport	BP	2.29961e-13	2758.5	1376.0
1	GO:0006749	1.84355e-11	1.00000e+00	21	42	glutathione metabolic process	BP	1.74216e-08	1128.5	718.0
2	GO:0007304	5.87220e-11	1.00000e+00	18	30	chorion-containing eggshell formation	BP	3.69949e-08	3010.4	2236.0
3	GO:0007305	4.27057e-10	1.00000e+00	11	13	vitelline membrane formation involved in chorion-containing eggshell formation	BP	2.01784e-07	2760.3	2410.8
4	GO:0007306	3.36071e-08	1.00000e+00	10	13	eggshell chorion assembly	BP	1.27035e-05	2607.2	2114.9
5	GO:0006635	9.92283e-07	1.00000e+00	14	30	fatty acid beta-oxidation	BP	3.12569e-04	2517.8	3449.3
6	GO:0003333	1.04925e-05	9.99998e-01	14	35	amino acid transmembrane transport	BP	2.83296e-03	2605.6	1132.3
7	GO:0030198	1.31572e-05	9.99998e-01	13	31	extracellular matrix organization	BP	2.92715e-03	4043.8	1757.4
8	GO:0033540	1.39388e-05	1.00000e+00	6	7	fatty acid beta-oxidation using acyl-CoA oxidase	BP	2.92715e-03	2350.1	127.9
9	GO:0019991	8.54658e-05	9.99984e-01	12	34	septate junction assembly	BP	1.61530e-02	2574.3	2328.4
10	GO:0035080	1.36289e-04	9.99993e-01	6	9	heat shock-mediated polytene chromosome puffing	BP	2.34170e-02	2761.6	1070.1
11	GO:0032222	1.70009e-04	9.99984e-01	7	14	regulation of synaptic transmission, cholinergic	BP	2.48761e-02	1376.2	1076.2
12	GO:0034475	1.71843e-04	9.99994e-01	5	7	U4 snRNA 3'-end processing	BP	2.48761e-02	1087.6	254.3
13	GO:0051085	1.84267e-04	9.99965e-01	11	31	chaperone cofactor-dependent protein refolding	BP	2.48761e-02	1788.1	752.2
14	GO:0034620	2.58078e-04	9.99968e-01	8	17	cellular response to unfolded protein	BP	3.25179e-02	2235.6	415.9
15	GO:0071028	4.58267e-04	9.99990e-01	4	5	nuclear mRNA surveillance	BP	5.10170e-02	1116.6	291.9
16	GO:0034427	4.58883e-04	9.99975e-01	5	8	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	BP	5.10170e-02	1425.5	925.2
17	GO:1903818	5.32992e-04	9.99935e-01	7	16	positive regulation of voltage-gated potassium channel activity	BP	5.42432e-02	1925.9	1816.7
